year_month,type,units_sum,cart_sum,units_na_cart,mL_sum
2021-02,Closed pod,3670958,10061034,0,11889302.115729004
2021-02,Disposable,792209,816721,0,1248255.7840599995
2021-02,Open refill,2,2,0,29.987529
2021-03,Closed pod,3613187,10387651,0,12334034.410088003
2021-03,Disposable,860965,890938,0,1378226.0729974993
2021-03,Open refill,15,15,0,125.864816
2021-04,Closed pod,3501824,10393210,0,12306377.998677002
2021-04,Disposable,861413,892754,0,1403623.6348204992
2021-04,Open refill,15,15,0,161.42249
2021-05,Closed pod,4367221,13149223,0,15512985.747156505
2021-05,Disposable,1074159,1106390,0,1763221.8784344986
2021-05,Open refill,82,82,0,758.8853135
2021-06,Closed pod,3453030,10514860,0,12438595.822030002
2021-06,Disposable,889267,917839,0,1497780.8841369993
2021-06,Open refill,15,15,0,121.940591
2021-07,Closed pod,4266553,13007692,0,15440692.360088006
2021-07,Disposable,1213843,1255977,0,2097239.693696498
2021-07,Open refill,18,18,0,189.937645
2021-08,Closed pod,3364332,10254919,0,12194387.959169501
2021-08,Disposable,941501,963068,0,1781892.8058664987
2021-08,Open refill,8,8,0,64.7752855
2021-09,Closed pod,3333271,10174302,0,12172915.3895165
2021-09,Disposable,958338,977275,0,1937560.5224944986
2021-09,Open refill,13,13,0,189.660019
2021-10,Closed pod,4140663,12665384,0,15232634.959132506
2021-10,Disposable,1197497,1219992,0,2496632.224572999
2021-10,Open refill,24,24,0,215.59047950000001
2021-11,Closed pod,3288464,10076106,0,12177740.894324502
2021-11,Disposable,920958,938259,0,1966928.3924464989
2021-11,Open refill,6,6,0,84.9646655
2021-12,Closed pod,3298094,10116986,0,12274177.744944502
2021-12,Disposable,873757,890042,0,1906767.292557999
2021-12,Open refill,12,12,0,124.9812935
2022-01,Closed pod,3056068,9402030,0,11202002.228985501
2022-01,Disposable,906712,918848,0,1927410.4973489991
2022-01,Open refill,1,1,0,14.9937645
2022-02,Closed pod,3128994,9657165,0,11569691.598756002
2022-02,Disposable,930006,940352,0,2088585.952592999
2022-02,Open refill,5,5,0,23.230688
2022-03,Closed pod,3113101,9677949,0,11604708.218447503
2022-03,Disposable,939419,946712,0,2191004.279212499
2022-03,Open refill,4,4,0,59.975058
2022-04,Closed pod,3880282,12111471,0,14523495.121845506
2022-04,Disposable,1150329,1156322,0,2738938.725450499
2022-04,Open refill,7,7,0,60.9634545
2022-05,Closed pod,3102236,9707992,0,11623679.167239001
2022-05,Disposable,863866,866775,0,2045801.9823479992
2022-05,Open refill,10,10,0,78.9524565
2022-06,Closed pod,3151261,9912232,0,11826567.791377502
2022-06,Disposable,834315,835874,0,1947946.6739339994
2022-06,Open refill,6,6,0,45.957219
2022-07,Closed pod,3552761,10901823,0,13940493.315133506
2022-07,Disposable,1054706,1055737,0,2445806.297790999
2022-07,Open refill,5,5,0,59.975058000000004
2022-08,Closed pod,2814040,8670070,0,11050082.640825002
