"category","upc","brand_filled","brand_source","line","product_descr","num_cartridges_f","mL_total_imputed","mL_rule","mL_n_siblings","mL_sibling_lo","mL_sibling_hi","nic_yield_tot_imputed","nic_rule","implied_raw_mg_per_mL","t2_type_override","review_flag","total_units"
"e-liquid (impute mL)","061772451143","SQUARE","raw","SQ-DR E-CG LIQUID M-SLK","SQ-DR E-CG LIQUID M-SLK",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",82
"e-liquid (impute mL)","693764350217","IMIRACLE","prefix","LOST MARY","LOST MARY SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO COTTON CANDY BOX 1 COUNT",1,13.5,"prefix8+carts",3,13,13.5,102,"prefix8+carts",11.1,NA,"minor:some_spread",82
"e-liquid (impute mL)","084872800344","J'ADORE FOR HER","raw","JDR FH E-CG","JDR FH E-CG",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",81
"e-liquid (impute mL)","085143800756","JAK","raw","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE STRAWBERRY BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",81
"e-liquid (impute mL)","671716977193","HYPPE","line","HYPPE MAX AIR","HYPPE MAX AIR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MIGHTY MINT OVER CHARGING PROTECTION BOX 1 COUNT",1,13,"gpt_verified",NA,NA,NA,442,"gpt_verified",50,"Disposable","ok:gpt-high",80
"e-liquid (impute mL)","019383500511","SHENZHEN GOLDREAMS TECHNOLOGY","raw","AIR BAR MAX","AIR BAR MAX SMOKING ALTERNATIVE PRODUCT BANANA SHAKE 1 COUNT",1,6.5,"prefix11",2,6.5,6.5,146.88,"prefix11",33.2,NA,"ok",79
"e-liquid (impute mL)","081962001769","SOUTH BEACH SMOKE","raw","STH-BS E-CG LIQUID MN","STH-BS E-CG LIQUID MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",77
"bare UPC (needs barcode lookup)","081066902121",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",76
"e-liquid (impute mL)","081764101807","KRAVE","raw","KRAVE E-CG TOB","KRAVE E-CG TOB",1,2,"prefix8+carts",1,2,2,24.48,"prefix8+carts",18,NA,"note:single_sibling",76
"e-liquid (impute mL)","085371500500","BLAC LABEL","raw","BLAC LABEL E-CG CT","BLAC LABEL E-CG CT",2,NA,"none",NA,NA,NA,38.76,"own(low-conf)",NA,NA,"",76
"e-liquid (impute mL)","081102002196","IMPERIAL","raw","IMPRL HK E-CG LIQUID I-B","IMPRL HK E-CG LIQUID I-B",1,19.991686,"prefix10",1,19.991686,19.991686,244.69823664,"prefix10",18,NA,"note:single_sibling",74
"e-liquid (impute mL)","079357311751","IMPERIAL","raw","IMPRL HK E-CG MINTY GRAPE","IMPRL HK E-CG MINTY GRAPE",1,19.991686,"brand+carts",1,19.991686,19.991686,244.69823664,"brand+carts",18,NA,"weak:coarse_match",73
"e-liquid (impute mL)","085266255777","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.9,"gpt_verified",NA,NA,NA,74.936,"gpt_verified",58,"Closed pod","ok:gpt-low",73
"e-liquid (impute mL)","085266256444","PUFF","prefix",NA,"PUFF PLUS SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO GUAVA ICE BOX 1 COUNT",1,3.2,"gpt_verified",NA,NA,NA,108.8,"gpt_verified",50,"Disposable","ok:gpt-medium",73
"e-liquid (impute mL)","085371500502","BLAC LABEL","raw","BLAC LABEL E-CG MN","BLAC LABEL E-CG MN",2,NA,"none",NA,NA,NA,38.76,"own(low-conf)",NA,NA,"",73
"e-liquid (impute mL)","002145800004","CLEAN CIG","raw","CLN-CG E-CGC MN/ECC","CLN-CG E-CGC MN/ECC",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",72
"bare UPC (needs barcode lookup)","079357305739",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",72
"e-liquid (impute mL)","065436770660","CIGALECTRIC","raw","CIGALECTRIC E-CGC REGULAR OL-V","CIGALECTRIC E-CGC REGULAR OL-V",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",70
"e-liquid (impute mL)","085266255745","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.9,"gpt_verified",NA,NA,NA,74.936,"gpt_verified",58,"Closed pod","ok:gpt-low",70
"e-liquid (impute mL)","061645399351","SQUARE","raw","SQUARE LVP MALIBU SILK XL","SQUARE LVP MALIBU SILK XL",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",68
"bare UPC (needs barcode lookup)","079357311750",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",68
"bare UPC (needs barcode lookup)","081066902120",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",68
"e-liquid (impute mL)","085962600290","FINITI","raw","FIN E-CG","FIN E-CG",1,1.75,"prefix10",12,1.75,14,19.04,"prefix10",16,NA,"CHECK:siblings_disagree",68
"e-liquid (impute mL)","081076702014","MILLENNIUM","raw","MLNM E-CG LIQUID PLUM","MLNM E-CG LIQUID PLUM",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",65
"bare UPC (needs barcode lookup)","081102002246","IMPERIAL","prefix",NA,NA,NA,NA,"none",NA,NA,NA,244.69823664,"prefix8",NA,NA,"",65
"e-liquid (impute mL)","081962001942","SOUTH BEACH SMOKE","raw","STH-BS E-CG LIQUID MN","STH-BS E-CG LIQUID MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",65
"e-liquid (impute mL)","084920501487","VUSE","raw","VUSE VIBE","VUSE VIBE SMOKING ALTERNATIVE PRODUCT MENTHOL 1 COUNT",1,1.9,"gpt_verified",NA,NA,NA,46.512,"gpt_verified",36,"Closed pod","ok:gpt-high",64
"e-liquid (impute mL)","081102002216","IMPERIAL","raw","IMPRL HK E-CG LIQUID 3D GRAPE","IMPRL HK E-CG LIQUID 3D GRAPE",1,19.991686,"prefix8+carts",1,19.991686,19.991686,244.69823664,"prefix8+carts",18,NA,"note:single_sibling",62
"e-liquid (impute mL)","085266256484","HYDE","line","HYPPE BAR","HYPPE BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO GRAPE SODA BOX 1 COUNT",1,3.2,"prefix10",11,1.4,6,108.8,"prefix10",50,NA,"CHECK:siblings_disagree",60
"e-liquid (impute mL)","081102002191","IMPERIAL","raw","IMPRL HK E-CG LIQUID K-ST","IMPRL HK E-CG LIQUID K-ST",1,19.991686,"prefix10",1,19.991686,19.991686,244.69823664,"prefix10",18,NA,"note:single_sibling",59
"e-liquid (impute mL)","085266255789","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.9,"gpt_verified",NA,NA,NA,74.936,"gpt_verified",58,"Closed pod","ok:gpt-low",59
"e-liquid (impute mL)","036586039515","FLAVORED MIST","raw","F-M E-CGAC STRAWBERRY","F-M E-CGAC STRAWBERRY",3,2.7,"prefix8+carts",4,1.6,2.7,29.376,"prefix8+carts",16,NA,"minor:some_spread",57
"bare UPC (needs barcode lookup)","081066902138",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",55
"e-liquid (impute mL)","085371500501","BLAC LABEL","raw","BLAC LABEL E-CG BOLD TOB","BLAC LABEL E-CG BOLD TOB",2,NA,"none",NA,NA,NA,38.76,"own(low-conf)",NA,NA,"",55
"e-liquid (impute mL)","062784346466","EAGLEENERGY","raw","EAGLE.ENERGY","EAGLE.ENERGY SMOKING ALTERNATIVE PRODUCT STICK CAFFEINE 1 COUNT",1,NA,"none",NA,NA,NA,102,"own(low-conf)",NA,NA,"",54
"e-liquid (impute mL)","081010749467","ESCO","line_firstword","ESCO BARS RIPE COLLECTION","ESCO BARS RIPE COLLECTION SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO KIWI DRAGON BERRY ICE MESH BOX 1 COUNT",1,6,"gpt_verified",NA,NA,NA,204,"gpt_verified",50,"Disposable","ok:gpt-medium",54
"bare UPC (needs barcode lookup)","081066902140",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",54
"e-liquid (impute mL)","081076702017","MILLENNIUM","raw","MLNM E-CG LIQUID KIWI","MLNM E-CG LIQUID KIWI",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",53
"e-liquid (impute mL)","085641900305","PROGRESSIGS","raw","PROGRESSIGS E-CG MN","PROGRESSIGS E-CG MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",53
"bare UPC (needs barcode lookup)","079357323334",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",51
"e-liquid (impute mL)","036586038509","FLAVORED MIST","raw","F-M E-CG GRAPE","F-M E-CG GRAPE",1,14.9937645,"prefix8+carts",11,0.9,14.9937645,163.13215776,"prefix8+carts",16,NA,"CHECK:siblings_disagree",49
"e-liquid (impute mL)","065436770661","CIGALECTRIC","raw","CIGALECTRIC E-CGC MN OL-V","CIGALECTRIC E-CGC MN OL-V",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",49
"e-liquid (impute mL)","085410000336","BLU","raw","BL-EGS E-CGCM VV 5P","BL-EGS E-CGCM VV 5P",50,5,"gpt_verified",NA,NA,NA,54.4,"prefix10",16,"Closed pod","ok:gpt-medium",49
"e-liquid (impute mL)","085965400222","BLU","raw","BL-EGS E-CGCM C-C RFL","BL-EGS E-CGCM C-C RFL",5,5,"gpt_verified",NA,NA,NA,54.4,"prefix10",16,"Closed pod","ok:gpt-medium",49
"e-liquid (impute mL)","036586038512","FLAVORED MIST","raw","F-M E-CG MANGO","F-M E-CG MANGO",1,14.9937645,"prefix8+carts",11,0.9,14.9937645,163.13215776,"prefix8+carts",16,NA,"CHECK:siblings_disagree",47
"bare UPC (needs barcode lookup)","079357310107",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",47
"bare UPC (needs barcode lookup)","079357323338",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",47
"e-liquid (impute mL)","084005680159","NUX","raw","NU-X NUTRA","NU-X NUTRA SMOKING ALTERNATIVE PRODUCT LIQUID ENERGY CAFFENINE 200 PLUS PUFFS BOX 1 COUNT",1,NA,"none",NA,NA,NA,102,"own(low-conf)",NA,NA,"",47
"e-liquid (impute mL)","002590017506","E SWISHER","raw","E SWISHER E-CG TF","E SWISHER E-CG TF",1,3,"prefix11",2,3,3,30.6,"prefix11",15,NA,"ok",45
"e-liquid (impute mL)","084005680156","NUX","raw","NU-X NUTRA","NU-X NUTRA SMOKING ALTERNATIVE PRODUCT LIQUID ENERGY CAFFENINE 200 PLUS PUFFS BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",45
"e-liquid (impute mL)","085641900308","PROGRESSIGS","raw","PROGRESSIGS E-CG VANILLA","PROGRESSIGS E-CG VANILLA",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",43
"e-liquid (impute mL)","036586038336","VAPIN PLUS","raw","VAPIN PLUS LVP","VAPIN PLUS LVP",1,14.9937645,"prefix8+carts",11,0.9,14.9937645,163.13215776,"prefix8+carts",16,NA,"CHECK:siblings_disagree",41
"e-liquid (impute mL)","061772491345","SQUARE","raw","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN OLD SCHOOL TABAC 1000 PUFFS BOX 1 COUNT",1,NA,"none",NA,NA,NA,102,"own(low-conf)",NA,NA,"",41
"e-liquid (impute mL)","084727700034","XPLORER","raw","XPLORER E-CG TF","XPLORER E-CG TF",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",41
"e-liquid (impute mL)","081323902444","SPACE JAM","raw","SPC JM-KGT ECCVPR","SPC JM-KGT ECCVPR",2,NA,"none",NA,NA,NA,39.78,"own(low-conf)",NA,NA,"",40
"e-liquid (impute mL)","036586038340","21ST CENTURY SMOKE","raw","21SCS E-CG","21SCS E-CG",1,0.9,"line+carts",1,0.9,0.9,9.792,"gpt_verified",16,"Closed pod","note:single_sibling",39
"e-liquid (impute mL)","036586038506","FLAVORED MIST","raw","F-M E-CG CHERRY","F-M E-CG CHERRY",1,14.9937645,"prefix8+carts",11,0.9,14.9937645,163.13215776,"prefix8+carts",16,NA,"CHECK:siblings_disagree",39
"bare UPC (needs barcode lookup)","071375793315",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",37
"e-liquid (impute mL)","085399000323","CLAYTON","raw","CLAYTON E-CG","CLAYTON E-CG",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",37
"e-liquid (impute mL)","081068701379","NJOY","raw","NJOY NPRO E-CG MINI","NJOY NPRO E-CG MINI",1,10,"prefix11",1,10,10,306,"prefix11",45,NA,"note:single_sibling",36
"e-liquid (impute mL)","085641900302","PROGRESSIGS","raw","PROGRESSIGS E-CG TOB","PROGRESSIGS E-CG TOB",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",36
"e-liquid (impute mL)","085410000348","QUIK E-CIG","raw","QUIK E-CIG E-CG TOB","QUIK E-CIG E-CG TOB",1,5,"prefix10",1,5,5,54.4,"prefix10",16,NA,"note:single_sibling",35
"e-liquid (impute mL)","085641900300","PROGRESSIGS","raw","PROGRESSIGS E-CG TOB","PROGRESSIGS E-CG TOB",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",35
"e-liquid (impute mL)","003095507662","LOGIC","raw","LOGIC E-CG TOB","LOGIC E-CG TOB",1,1.2,"brand+carts",14,1.2,9.995843,19.584,"gpt_verified",24,"Closed pod","CHECK:siblings_disagree",34
"e-liquid (impute mL)","081536802011","NJOY","raw","NJOY E-CG TROPICAL TWIST","NJOY E-CG TROPICAL TWIST",1,1,"prefix10",2,1,1,30.6,"prefix10",45,NA,"ok",34
"bare UPC (needs barcode lookup)","085433800492",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",34
"e-liquid (impute mL)","081076702018","MILLENNIUM","raw","MLNM E-CG LIQUID CREAM","MLNM E-CG LIQUID CREAM",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",33
"e-liquid (impute mL)","036586038500","FLAVORED MIST","raw","F-M E-CG APPLE","F-M E-CG APPLE",1,14.9937645,"prefix8+carts",11,0.9,14.9937645,163.13215776,"prefix8+carts",16,NA,"CHECK:siblings_disagree",32
"e-liquid (impute mL)","085371500503","BLAC LABEL","raw","BLAC LABEL E-CG LIGHT VANILLA","BLAC LABEL E-CG LIGHT VANILLA",2,NA,"none",NA,NA,NA,38.76,"own(low-conf)",NA,NA,"",32
"e-liquid (impute mL)","081076702029","MILLENNIUM","raw","MLNM E-CG LIQUID SB CHSCK","MLNM E-CG LIQUID SB CHSCK",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",31
"e-liquid (impute mL)","697184747284","JUICY BAR","line","JUICY BAR","JUICY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO MICHIGAN CHERRY ICE MESH COIL BOX 1 COUNT",1,13,"prefix11",1,13,13,102,"prefix11",11.5,NA,"note:single_sibling",31
"e-liquid (impute mL)","019383500754","SHENZHEN GOLDREAMS TECHNOLOGY","raw","AIR BAR LUX","AIR BAR LUX SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO COOL MINT CANISTER 1 COUNT",1,2.7,"gpt_verified",NA,NA,NA,91.8,"gpt_verified",50,"Disposable","ok:gpt-low",30
"e-liquid (impute mL)","036586038503","FLAVORED MIST","raw","F-M E-CG BLUEBERRY","F-M E-CG BLUEBERRY",1,14.9937645,"prefix8+carts",11,0.9,14.9937645,163.13215776,"prefix8+carts",16,NA,"CHECK:siblings_disagree",30
"e-liquid (impute mL)","085607300367","JAK","raw","JAK E-CG MN","JAK E-CG MN",1,NA,"none",NA,NA,NA,70.38,"own(low-conf)",NA,NA,"",30
"e-liquid (impute mL)","078413191783","GLAMEE","raw","GLAMEE NOVA","GLAMEE NOVA SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO KIWI BLUEBERRY ICE BOX 1 COUNT",1,16,"prefix10",1,16,16,272,"prefix10",25,NA,"note:single_sibling",28
"e-liquid (impute mL)","085267507270","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.5,"line_percart",6,NA,NA,61.2,"line",60,NA,"weak:coarse_match",28
"e-liquid (impute mL)","036586038515","FLAVORED MIST","raw","F-M E-CG STRAWBERRY","F-M E-CG STRAWBERRY",1,14.9937645,"prefix8+carts",11,0.9,14.9937645,163.13215776,"prefix8+carts",16,NA,"CHECK:siblings_disagree",27
"e-liquid (impute mL)","036586039509","FLAVORED MIST","raw","F-M E-CGAC GRAPE","F-M E-CGAC GRAPE",3,2.7,"prefix8+carts",4,1.6,2.7,29.376,"prefix8+carts",16,NA,"minor:some_spread",27
"e-liquid (impute mL)","081102002461","IMPERIAL","raw","IMP-SMOKE EVC CLMR","IMP-SMOKE EVC CLMR",1,19.991686,"prefix8+carts",1,19.991686,19.991686,244.69823664,"prefix8+carts",18,NA,"note:single_sibling",25
"e-liquid (impute mL)","085308600486","CRISS-CROSS","raw","CRISS-CROSS E-CG MN","CRISS-CROSS E-CG MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",25
"bare UPC (needs barcode lookup)","081342001159",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",24
"e-liquid (impute mL)","079408027633","E-SMOKES","raw","E-SMOKES E-CG MINT RFL","E-SMOKES E-CG MINT RFL",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",23
"e-liquid (impute mL)","081076702012","MILLENNIUM","raw","MLNM E-CG LIQUID PINEAPPLE","MLNM E-CG LIQUID PINEAPPLE",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",23
"e-liquid (impute mL)","084043916500","RIP TIDE RIPSTICK","raw","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.4,"prefix8+carts",1,1.4,1.4,110.5,"prefix8+carts",116.1,NA,"note:single_sibling",23
"e-liquid (impute mL)","081505802007","LOGIC","raw","LOGIC POWER E-CGC VANILLA","LOGIC POWER E-CGC VANILLA",3,1.35,"prefix11",2,1.2,1.5,22.032,"prefix11",24,NA,"minor:some_spread",22
"hardware/device (exclude)","081991301551","JUUL","raw","ELCT VAPOR DEVICE","ELCT VAPOR DEVICE",1,NA,"hardware_exclude",NA,NA,NA,NA,"hardware_exclude",NA,NA,"",22
"e-liquid (impute mL)","084866604113","FINITI","raw","FIN ECGVT VANILLA","FIN ECGVT VANILLA",1,1.75,"prefix8+carts",8,1,1.75,14.96,"prefix8+carts",12.6,NA,"minor:some_spread",22
"e-liquid (impute mL)","081342001429","KRAVE","raw","KRAVE E-CG OGN","KRAVE E-CG OGN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",21
"e-liquid (impute mL)","081505802288","LOGIC","raw","LOGIC POWER","LOGIC POWER SMOKING ALTERNATIVE PRODUCT TOBACCO BOX 1 COUNT",1,1.2,"gpt_verified",NA,NA,NA,22.032,"gpt_verified",27,"Closed pod","ok:gpt-medium",21
"e-liquid (impute mL)","085143800757","JAK","raw","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE WILD BERRY BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",21
"e-liquid (impute mL)","019383500501","SHENZHEN GOLDREAMS TECHNOLOGY","raw","AIR BAR MAX","AIR BAR MAX SMOKING ALTERNATIVE PRODUCT CRANBERRY GRAPE 1 COUNT",1,6.5,"prefix10",2,6.5,6.5,146.88,"prefix10",33.2,NA,"ok",20
"e-liquid (impute mL)","073621191069","SQUARE","raw","SQ E-CG VO","SQ E-CG VO",1,NA,"none",NA,NA,NA,58.344,"own(low-conf)",NA,NA,"",19
"e-liquid (impute mL)","019383500513","SHENZHEN GOLDREAMS TECHNOLOGY","raw","AIR BAR MAX","AIR BAR MAX SMOKING ALTERNATIVE PRODUCT BANANA SHAKE 1 COUNT",1,6.5,"prefix11",2,6.5,6.5,146.88,"prefix11",33.2,NA,"ok",18
"e-liquid (impute mL)","075166712763","EZ CIG","raw","EZ CIG E-CG MN","EZ CIG E-CG MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",18
"e-liquid (impute mL)","081076702013","MILLENNIUM","raw","MLNM E-CG LIQUID WM","MLNM E-CG LIQUID WM",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",18
"e-liquid (impute mL)","036586039503","FLAVORED MIST","raw","F-M E-CGAC BLUEBERRY","F-M E-CGAC BLUEBERRY",3,2.7,"prefix8+carts",4,1.6,2.7,29.376,"prefix8+carts",16,NA,"minor:some_spread",17
"e-liquid (impute mL)","075166717399","VOODOO","raw","VOODOO E-HOOKAH E-CG S-S","VOODOO E-HOOKAH E-CG S-S",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",17
"e-liquid (impute mL)","081342001430","KRAVE","raw","KRAVE E-CG MN","KRAVE E-CG MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",17
"e-liquid (impute mL)","085371500504","BLAC LABEL","raw","BLAC LABEL E-CG LIGHT TOB","BLAC LABEL E-CG LIGHT TOB",2,NA,"none",NA,NA,NA,38.76,"own(low-conf)",NA,NA,"",17
"e-liquid (impute mL)","085438400410","LOGIC","raw","LGL E-CG","LGL E-CG",1,7.25,"prefix10",5,2.9,7.25,88.74,"gpt_verified",18,"Closed pod","CHECK:siblings_disagree",17
"e-liquid (impute mL)","078779031461","SWITCH MODS","line","SWITCH MODS","SWITCH MODS SMOKING ALTERNATIVE PRODUCT GRAPEFRUIT GUAVA 1 COUNT",1,1.3,"prefix10",4,1.3,1.3,22.1,"prefix10",25,NA,"ok",16
"bare UPC (needs barcode lookup)","081342001389",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",16
"e-liquid (impute mL)","085143800754","JAK","raw","JAK","JAK SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE FRUIT BOX 1 COUNT",1,NA,"none",NA,NA,NA,106.25,"own(low-conf)",NA,NA,"",16
"bare UPC (needs barcode lookup)","085220700570",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",16
"e-liquid (impute mL)","085266255570","PUFF","line","PUFF","PUFF SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO LUSH IC BOX 1 COUNT",1,3.2,"gpt_verified",NA,NA,NA,108.8,"gpt_verified",50,"Disposable","ok:gpt-medium",16
"e-liquid (impute mL)","085607300300","JAK","raw","JAK E-CG REGULAR","JAK E-CG REGULAR",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",16
"e-liquid (impute mL)","085962600235","FINITI","raw","FINITI E-CGC CMT RFL","FINITI E-CGC CMT RFL",14,14,"prefix11",1,14,14,152.32,"prefix11",16,NA,"note:single_sibling",16
"e-liquid (impute mL)","075166704975","EZ CIG","raw","EZ CIG E-CG TOB","EZ CIG E-CG TOB",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",15
"bare UPC (needs barcode lookup)","081342001265",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",15
"e-liquid (impute mL)","081342001847","VAPOR X","raw","VAPOR X E-CG LIQUID TOB","VAPOR X E-CG LIQUID TOB",1,2,"brand+carts",1,2,2,24.48,"brand+carts",18,NA,"weak:coarse_match",15
"e-liquid (impute mL)","002145802050","CLEAN CIG","raw","CLN-CG E-CGA MN","CLN-CG E-CGA MN",5,NA,"none",NA,NA,NA,59.5,"own(low-conf)",NA,NA,"",14
"hardware/device (exclude)","065236901033","VIKING","raw","VIKING","VIKING SMOKING ALTERNATIVE PRODUCT STARTER KIT CARDED 1 COUNT",1,NA,"none",NA,NA,NA,102,"own(low-conf)",NA,NA,"",14
"e-liquid (impute mL)","073621122926","SQUARE","raw","SQ82 E-CG OR","SQ82 E-CG OR",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",14
"e-liquid (impute mL)","081085902007","ZOOM","raw","ZOOM E-CG MN BOLD 10P","ZOOM E-CG MN BOLD 10P",10,NA,"none",NA,NA,NA,163.2,"own(low-conf)",NA,NA,"",14
"e-liquid (impute mL)","084920500156","VUSE","raw","VUSE SOLO","VUSE SOLO SMOKING ALTERNATIVE PRODUCT BOX 1 COUNT",1,0.5,"gpt_verified",NA,NA,NA,16.32,"gpt_verified",48,"Closed pod","ok:gpt-medium",14
"e-liquid (impute mL)","085371500505","BLAC LABEL","raw","BLAC LABEL E-CG SPECIAL BLEND","BLAC LABEL E-CG SPECIAL BLEND",2,NA,"none",NA,NA,NA,38.76,"own(low-conf)",NA,NA,"",14
"e-liquid (impute mL)","084043916184","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.4,"prefix11",1,1.4,1.4,110.5,"prefix11",116.1,NA,"note:single_sibling",13
"e-liquid (impute mL)","075166717247","VOODOO","raw","VOODOO E-HOOKAH E-CG GOE","VOODOO E-HOOKAH E-CG GOE",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",12
"e-liquid (impute mL)","079357311752","IMPERIAL","raw","IMPRL HK E-CG MOCHA LATTE","IMPRL HK E-CG MOCHA LATTE",1,19.991686,"brand+carts",1,19.991686,19.991686,244.69823664,"brand+carts",18,NA,"weak:coarse_match",12
"e-liquid (impute mL)","081342001857","VAPOR X","raw","VAPOR X E-CG LIQUID MN","VAPOR X E-CG LIQUID MN",1,2,"brand+carts",1,2,2,24.48,"brand+carts",18,NA,"weak:coarse_match",12
"e-liquid (impute mL)","085488600303","SMOKER'S ONE CHOICE","raw","SOC E-CG MN","SOC E-CG MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",12
"e-liquid (impute mL)","003095507669","LOGIC","raw","LG-PLT E-CG MN","LG-PLT E-CG MN",1,1.2,"brand+carts",14,1.2,9.995843,19.584,"gpt_verified",24,"Closed pod","CHECK:siblings_disagree",11
"e-liquid (impute mL)","081323902000","SPACE JAM","raw","SPC JM E-CG LIQUID ANDROMEDA","SPC JM E-CG LIQUID ANDROMEDA",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",11
"e-liquid (impute mL)","081505802289","LOGIC","raw","LOGIC POWER","LOGIC POWER SMOKING ALTERNATIVE PRODUCT MENTHOL BOX 1 COUNT",1,1.2,"gpt_verified",NA,NA,NA,22.032,"gpt_verified",27,"Closed pod","ok:gpt-medium",11
