"category","upc","brand_filled","brand_source","line","product_descr","num_cartridges_f","mL_total_imputed","mL_rule","mL_n_siblings","mL_sibling_lo","mL_sibling_hi","nic_yield_tot_imputed","nic_rule","implied_raw_mg_per_mL","t2_type_override","review_flag","total_units"
"e-liquid (impute mL)","081764101810","KRAVE","raw","KRAVE E-CG MN","KRAVE E-CG MN",1,2,"prefix8+carts",1,2,2,24.48,"prefix8+carts",18,NA,"note:single_sibling",106
"bare UPC (needs barcode lookup)","081066902111",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",104
"bare UPC (needs barcode lookup)","081102002145","IMPERIAL","prefix",NA,NA,NA,19.991686,"prefix10",1,19.991686,19.991686,244.69823664,"prefix10",18,NA,"note:single_sibling",103
"e-liquid (impute mL)","081010830139","ZEO","line","ZEO","ZEO SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO TOBACCO FLAVOR VELVET BOX 1 COUNT",1,3.2,"gpt_verified",NA,NA,NA,108.8,"gpt_verified",50,"Disposable","ok:gpt-high",100
"e-liquid (impute mL)","085266255769","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.9,"gpt_verified",NA,NA,NA,74.936,"gpt_verified",58,"Closed pod","ok:gpt-low",100
"bare UPC (needs barcode lookup)","085604000325",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",99
"bare UPC (needs barcode lookup)","081066902117",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",97
"e-liquid (impute mL)","693764350215","IMIRACLE","prefix","LOST MARY","LOST MARY SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO BLUEBERRY RASPBERRY CHERRY BOX 1 COUNT",1,13.5,"prefix8+carts",3,13,13.5,102,"prefix8+carts",11.1,NA,"minor:some_spread",97
"e-liquid (impute mL)","693764350228","IMIRACLE","prefix","LOST MARY","LOST MARY SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO STRAWBERRY ICE CREAM BOX 1 COUNT",1,13.5,"prefix8+carts",3,13,13.5,102,"prefix8+carts",11.1,NA,"minor:some_spread",97
"e-liquid (impute mL)","065436704336","CIGALECTRIC","raw","CIGALECTRIC E-CGC MN","CIGALECTRIC E-CGC MN",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",96
"e-liquid (impute mL)","085267507268","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.5,"line_percart",6,NA,NA,61.2,"line",60,NA,"weak:coarse_match",96
"bare UPC (needs barcode lookup)","081066902116",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",95
"bare UPC (needs barcode lookup)","079357323340",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",94
"bare UPC (needs barcode lookup)","081066902141",NA,"unknown",NA,NA,NA,NA,"none",NA,NA,NA,64.6,"brand",NA,NA,"",94
"bare UPC (needs barcode lookup)","081102002113","IMPERIAL","prefix",NA,NA,NA,19.991686,"prefix10",1,19.991686,19.991686,244.69823664,"prefix10",18,NA,"note:single_sibling",94
"e-liquid (impute mL)","084727700018","JASPER & JASPER","raw","JJ-IMPLS E-CG TF","JJ-IMPLS E-CG TF",1,NA,"none",NA,NA,NA,14.688,"own(low-conf)",NA,NA,"",94
"e-liquid (impute mL)","081009691188","JUICE","line_firstword","JUICE HEAD","JUICE HEAD SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO LYCHEE MANGO MESH COIL BOX 1 COUNT",1,NA,"none",NA,NA,NA,102,"own(low-conf)",NA,NA,"",91
"e-liquid (impute mL)","085266255753","NJOY","line","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.9,"gpt_verified",NA,NA,NA,74.936,"gpt_verified",58,"Closed pod","ok:gpt-low",90
"e-liquid (impute mL)","693764356879","IMIRACLE","line","ELF BAR","ELF BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO WATERMELON JOLLY CANDY ICE BOX 1 COUNT",1,13,"line+carts",23,9.5,13.5,102,"line+carts",11.5,NA,"minor:some_spread",90
