"row_id","upc","brand_filled","product_line","product_descr","imputed_num_cartridges","imputed_mL_per_cartridge","imputed_total_mL","imputed_nic_mg_per_ml","imputation_basis","priority","total_units","cum_unit_share"
68,"084866604600","FINITI","FIN ECGVT BOLD TOB","FIN ECGVT BOLD TOB",1,4.8,4.8,"24","prefix11","5-ok",62144,0.733
69,"084866604612","FINITI","FIN E-CG CLMR","FIN E-CG CLMR",2,2.4,4.8,"24","prefix10","5-ok",59364,0.737
70,"085570400761","HAUS","HAUS E-CG LIQUID DARK ICE MN","HAUS E-CG LIQUID DARK ICE MN",1,5,5,"18","prefix10","1-CHECK",56022,0.741
71,"085570400760","HAUS","HAUS E-CG LIQUID SCT","HAUS E-CG LIQUID SCT",1,5,5,"18","prefix10","1-CHECK",54215,0.744
72,"081821401475","GREEN SMOKE","GREEN SMOKE EVPC CLASSIC","GREEN SMOKE EVPC CLASSIC",3,1,3,"24","prefix8+carts","3-single-sibling",52507,0.748
73,"084866604614","FINITI","FIN ECGVT MN","FIN ECGVT MN",2,2.4,4.8,"24","prefix10","5-ok",51520,0.752
74,"009710000286","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,0.8,"35","prefix8+carts","1-CHECK",51035,0.755
75,"081821401474","GREEN SMOKE","GREEN SMOKE E-CGC M-I","GREEN SMOKE E-CGC M-I",5,1,5,"14.4","prefix8_percart","2-weak",50770,0.759
76,"009710000285","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,0.8,0.8,"35","prefix8+carts","1-CHECK",50254,0.762
77,"085570400864","HAUS","HAUS E-CG LIQUID CLOUD PUNCH","HAUS E-CG LIQUID CLOUD PUNCH",1,10,10,"24","prefix10","5-ok",49607,0.766
78,"088886130600","LEAP","ELCT CGRTT","ELCT CGRTT",1,1.25,1.25,"38.4","line+carts","4-minor",48279,0.769
79,"085570400743","COSMIC FOG","CSM FG ECGL KREWBERRY","CSM FG ECGL KREWBERRY",1,5,5,"18","prefix10","1-CHECK",47624,0.773
80,"036586037172","VAPIN PLUS","VPLS E-CG LIQUID STBRY","VPLS E-CG LIQUID STBRY",1,14.99,14.9937645,"16","prefix11","3-single-sibling",46385,0.776
81,"085570400795","HAUS","HAUS E-CG LIQUID SWEET VOO DEW","HAUS E-CG LIQUID SWEET VOO DEW",1,29.99,29.987529,"4","prefix11","3-single-sibling",45799,0.779
82,"085570400798","HAUS","HAUS E-CG LIQUID MOON MILK","HAUS E-CG LIQUID MOON MILK",1,29.99,29.987529,"4","prefix11","3-single-sibling",44877,0.782
83,"084920501503","VUSE",,"VUSE SOLO SMOKING ALTERNATIVE PRODUCT BOX 1 COUNT",1,3.8,3.8,"30","prefix10","1-CHECK",43533,0.785
84,"085570400744","COSMIC FOG","CSM FG ECGL NE-CR","CSM FG ECGL NE-CR",1,5,5,"18","prefix10","1-CHECK",42966,0.788
85,"088886130200","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,3,"48","prefix11","3-single-sibling",41788,0.791
86,"081991301522","JUUL","ELCT CGRTT CARTRIDGE","ELCT CGRTT CARTRIDGE",2,0.7,1.4,"50","prefix11","5-ok",41267,0.794
87,"088886130220","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,3,3,"48","prefix10","5-ok",40395,0.797
88,"081990502850","NJOY","ELCT CGRTT LIQUID POD","ELCT CGRTT LIQUID POD",1,1.3,1.3,"76.9","prefix11","3-single-sibling",40074,0.8
89,"081991301520","JUUL","ELCT CGRTT CARTRIDGE","ELCT CGRTT CARTRIDGE",2,0.7,1.4,"50","prefix11","5-ok",38931,0.802
90,"088796901136","BLU","BLU","BLU SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO GRAPHITE BLACK BOX 1 COUNT",1,3,3,"24.8","prefix11","5-ok",38828,0.805
91,"085570400786","HAUS","HAUS ESOT","HAUS ESOT",1,5,5,"18","prefix10","1-CHECK",37518,0.808
92,"036586037200","VAPIN PLUS","VAPIN PLUS ECTA","VAPIN PLUS ECTA",1,2.31,2.306733,"16","prefix11","3-single-sibling",36821,0.81
93,"081068701485","NJOY","ELCT CGRTT CARTRIDGE","ELCT CGRTT CARTRIDGE",1,3.8,3.8,"12.6","prefix11","5-ok",36140,0.813
94,"081505802263","LOGIC","ELCT CGRTT LIQUID CAPSULE","ELCT CGRTT LIQUID CAPSULE",1,3,3,"18","prefix11","5-ok",34479,0.815
