"row_id","upc","brand_filled","product_line","product_descr","imputed_num_cartridges","imputed_mL_per_cartridge","imputed_total_mL","imputed_nic_mg_per_ml","imputation_basis","priority","total_units","cum_unit_share"
93,"061772491452",,,,,,,,"none","1-no-value",654,0.123
94,"085003554344","FIFTY","FIFTY BAR","FIFTY BAR SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO ALOE GRAPPLE WATERMELON BOX 1 COUNT",1,,,,"none","1-no-value",637,0.123
95,"085005158210","RIZN","RIZN","RIZN SMOKING ALTERNATIVE PRODUCT ELECTRONIC CIGARETTE LIQUID PO SUPER SOUR BOX 1 COUNT",1,,,,"none","1-no-value",631,0.123
96,"085609000332","ISMOK","ISMOK E-CG CT RFL/ECC=","ISMOK E-CG CT RFL/ECC=",5,,,,"none","1-no-value",619,0.123
97,"061737594344","SQUARE","SQUARE","SQUARE SMOKING ALTERNATIVE PRODUCT LIQUID VAPORIZER PEN ORIGINAL RED 1000 PUFFS BOX 1 COUNT",1,,,,"none","1-no-value",608,0.123
98,"085609000315","ISMOK","ISMOK E-CGC CT","ISMOK E-CGC CT",3,,,,"none","1-no-value",608,0.123
99,"061772451137","SQUARE","SQ-DR E-CG LIQUID LOVE ME","SQ-DR E-CG LIQUID LOVE ME",1,,,,"none","1-no-value",601,0.123
100,"061772451152","SQUARE","SQ-DR E-CG LIQUID NBG","SQ-DR E-CG LIQUID NBG",1,,,,"none","1-no-value",574,0.124
101,"061772451170","SQUARE","SQ-DR E-CG LIQUID OST","SQ-DR E-CG LIQUID OST",1,,,,"none","1-no-value",569,0.124
102,"089961000209","CIGIREX","CIGIREX E-CG","CIGIREX E-CG",2,,,,"none","1-no-value",540,0.124
103,"085436100477",,,,,,,,"none","1-no-value",535,0.124
104,"089961000214","CIGIREX","CIGIREX E-CGC MN RFL","CIGIREX E-CGC MN RFL",5,,,,"none","1-no-value",531,0.124
