year,brand,mL_old,mL_new,mL_sq_old,mL_sq_new,nic_old,nic_new,nic_mg_per_mL_old,nic_mg_per_mL_new,avg_mL_per_ecig_old,avg_mL_per_ecig_new,N_hom_old,N_hom_new,N_hom_change,mL_change_pct
2018,FLAVORED MIST,14.9937645,14.9937645,224.81297388146024,224.81297388146024,14.687999999999999,14.687999999999999,0.9796072227224857,0.9796072227224857,14.9937645,14.9937645,14.687999999999999,14.687999999999999,0,0
2018,GREEN SMART LIVING,140,140,610,610,1713.6000000000004,1713.6000000000004,12.240000000000002,12.240000000000002,4.357142857142857,4.357142857142857,53.331428571428575,53.331428571428575,0,0
2018,GREEN SMOKE,179117,179117,739011,739011,2935804.7999996888,2935804.7999996888,16.390430835708997,16.390430835708997,4.125856283881485,4.125856283881485,67.62456205903483,67.62456205903483,0,0
2018,IMPERIAL,160693.17206798217,160693.17206798217,3212527.4383275975,3212527.4383275975,118062.1439999889,118062.1439999889,0.7347054170418768,0.7347054170418768,19.99168600000328,19.99168600000328,14.68800000000266,14.68800000000266,0,0
2018,JAK,457.5,457.5,571.875,571.875,5375.80800000002,5375.80800000002,11.750400000000043,11.750400000000043,1.25,1.25,14.688000000000054,14.688000000000054,0,0
2018,JUST JUICE,589.7547370000002,589.7547370000002,5895.095759558287,5895.095759558287,866.5919999999995,866.5919999999995,1.4694108340837273,1.4694108340837273,9.99584299999999,9.99584299999999,14.687999999999972,14.687999999999972,0,0
2018,JUUL,51458173.19984227,51458173.19984227,143739053.92326963,143739053.92326963,1749429948.015352,1749429948.015352,33.997125028540935,33.997125028540935,2.7933182424694047,2.7933182424694047,94.96478953373658,94.96478953373658,0,0
2018,KRAVE,33698,33698,126628,126628,229353.11999999502,229353.11999999502,6.8061344886935435,6.8061344886935435,3.757730429105585,3.757730429105585,25.57561867274871,25.57561867274871,0,0
2018,LOGIC,7604746.221523337,7604746.221523337,24197351.45301957,24197351.45301957,96799068.09620717,96799068.09620717,12.728770333221846,12.728770333221846,3.1818749433787814,3.1818749433787814,40.50135538330177,40.50135538330177,0,0
2018,MARKTEN,11390879.999938868,11390879.999938868,29999759.359740697,29999759.359740697,274363931.5978312,274363931.5978312,24.086280568253166,24.086280568253166,2.6336647704041916,2.6336647704041916,63.435188582679416,63.435188582679416,0,0
2018,MISTIC,4468846,4468846,81779212.5,81779212.5,36208686.24003503,36208686.24003503,8.102469013260924,8.102469013260924,18.299850229790867,18.299850229790867,148.2739694341963,148.2739694341963,0,0
2018,NICOTEK,20831.01440300045,20831.01440300045,195787.3212561291,195787.3212561291,46322.688000000075,46322.688000000075,2.223736545126092,2.223736545126092,9.398837592274353,9.398837592274353,20.900538635645404,20.900538635645404,0,0
2018,NJOY,8064724.771950002,8064724.771950002,15281839.241489828,15281839.241489828,199325548.5317263,199325548.5317263,24.715728579480164,24.715728579480164,1.8948990416438938,1.8948990416438938,46.833810398787556,46.833810398787556,0,0
2018,UNKNOWN,2723666.933495169,2723666.933495169,10775677.832499847,10775677.832499847,37967821.58241787,37967821.58241787,13.939964947804881,13.939964947804881,3.956312609292453,3.956312609292453,55.15085909609527,55.15085909609527,0,0
2018,V2 CIGS,89467,89467,401547,401547,1095112.799999942,1095112.799999942,12.240410430660937,12.240410430660937,4.488213531246158,4.488213531246158,54.937575722899034,54.937575722899034,0,0
2018,VAPIN PLUS,525743.6651610441,525743.6651610441,7779364.295986304,7779364.295986304,558981.2160001195,558981.2160001195,1.0632200690975404,1.0632200690975404,14.796876903126078,14.796876903126078,15.732336483369508,15.732336483369508,0,0
2018,VAPOR X,54,54,108,108,2041.632000000001,2041.632000000001,37.80800000000002,37.80800000000002,2,2,75.61600000000004,75.61600000000004,0,0
2018,VUSE,11456980.300114477,10912592.500108525,31802955.24994475,27066781.38987094,251594731.02081922,246041975.46119836,21.959951438365074,22.546610758053276,2.7758584214050694,2.4803254945698527,60.95771613383206,55.922933479342454,-5.034782654489604,-4.751581880615719
